distance_from_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m,ctx_raw_m
10.854698,76.155473,18.214236,-1328.824579,-158.3536989020149,-100.38124884132799,-88.93071356500468,-1369.225943
10.954698,76.157032,18.213428,-1334.011654,-161.91449416071032,-103.91688416600869,-92.32472240394941,-1375.320324
11.054698,76.158591,18.21262,-1338.95107,-165.2276304194063,-107.20486049068973,-95.47107224289448,-1377.504468
11.154698,76.160149,18.211811,-1343.642828,-168.2936473941595,-110.24564686241865,-98.37033058862517,-1381.176041
11.254698,76.161708,18.211003,-1348.669316,-171.69385565285506,-113.6206951870995,-101.60375242756959,-1387.166707
11.354698,76.163267,18.210195,-1353.780216,-175.17847591154964,-117.08015551177891,-104.92158626651349,-1396.383662
11.454698,76.164825,18.209387,-1358.973668,-178.74651913025446,-120.62302530233046,-108.32292301533244,-1397.716653
11.554698,76.166384,18.208579,-1364.24967,-182.3962413889501,-124.24758762701117,-111.8058588542774,-1401.080114
11.654698,76.167942,18.207771,-1369.608223,-186.1293856076427,-127.95555841755049,-115.37229660308299,-1408.660643
11.754698,76.169501,18.206962,-1377.228647,-192.12319762239918,-133.92415332342102,-121.19927003895282,-1410.198455
11.854698,76.17106,18.206154,-1383.120253,-196.3885238810949,-138.16431964810204,-125.29780987789786,-1413.79077
11.954698,76.172618,18.205346,-1389.135692,-200.77855409978656,-142.52917643863998,-129.52113362670207,-1419.294666
12.054698,76.174177,18.204538,-1395.274963,-205.29154535848215,-147.01700776332086,-133.86733846564698,-1414.767004
12.154698,76.175736,18.20373,-1401.538066,-209.92836861717774,-151.62867108800174,-138.3373753045919,-1430.872633
12.254698,76.177294,18.202922,-1409.821148,-216.58604183587022,-158.26117087854118,-144.82834205339736,-1436.582256
12.354698,76.178853,18.202113,-1417.959811,-223.0980928506267,-164.74800478441148,-151.17355448926742,-1435.332954
12.454698,76.180412,18.201305,-1425.892092,-229.4040941093224,-171.02884610909246,-157.3127693282122,-1434.469776
12.554698,76.182093,18.201156,-1434.869153,-236.8675670039106,-178.50648359470847,-164.63407479008265,-1433.64466
12.654698,76.183849,18.201407,-1444.879433,-245.4318344741414,-187.1087976648505,-173.07104224208365,-1445.508484
12.754698,76.185605,18.201658,-1456.543401,-255.6497899443716,-197.36479973499195,-183.1616976940843,-1457.678767
12.854698,76.187361,18.201909,-1468.423866,-266.084242414604,-207.83729880513556,-193.46885014608688,-1463.643236
12.954698,76.189117,18.20216,-1480.520828,-276.7351918848344,-218.52629487527702,-203.99249959808776,-1469.187269
13.054698,76.190872,18.20241,-1492.834286,-287.60317607112415,-229.4322549924682,-214.73321155687586,-1474.505013
13.154698,76.192628,18.202661,-1502.988755,-296.31163254135504,-238.1787580626103,-223.31436800887695,-1479.673112
13.254698,76.194384,18.202912,-1511.844813,-303.72167801158685,-245.62685013275313,-230.5971134608792,-1486.940668
13.354698,76.19614,18.203163,-1520.354484,-310.78533648181747,-252.72855520289522,-237.53347191288003,-1486.620396
13.454698,76.197896,18.203414,-1528.51777,-317.5026099520485,-259.48387527303703,-244.12344536488104,-1491.831477
13.554698,76.199652,18.203665,-1535.968725,-323.50755242228024,-265.52686434318,-250.00108781688346,-1509.877607
13.654698,76.201408,18.203915,-1542.072497,-328.16497964857194,-270.2222809945115,-254.5311628658094,-1521.104568
13.754698,76.203164,18.204166,-1548.017504,-332.6639741188037,-274.7593220646547,-258.9028573178116,-1532.900225
13.854698,76.20492,18.204417,-1553.803747,-337.0042045890343,-279.13759913479635,-263.1157877698124,-1538.122321
13.954698,76.206675,18.204668,-1559.431225,-341.18654101926336,-283.3579686707983,-267.1709041316758,-1542.755423
14.054698,76.208431,18.204919,-1559.314809,-339.6241124894941,-281.83358674094006,-265.48117558367676,-1549.856664
14.154698,76.209942,18.204293,-1559.361619,-338.14691722504404,-280.34098965039107,-263.850524455655,-1556.201179
14.254698,76.211336,18.203248,-1560.305589,-337.5295740700551,-279.6827095840499,-263.06722489331673,-1557.156415
14.354698,76.21273,18.202203,-1561.392775,-337.05544691507976,-279.1676455177219,-262.4271413309932,-1560.366895
14.454698,76.214124,18.201157,-1562.623177,-336.72420351615165,-278.79540803256987,-261.9298893655798,-1558.589594
